name,price,description,images,original_images,website,product_id,language,url,crawl_date
STEREO HYBRID ONE22SLT 800,4999.0,"With added Bosch power and proven CUBE suspension kinematics, our trail explorer is a bike for all reasons. Suspension design that's stood the test of time is designed to work with a 130mm fork for the best in comfort and control. We fitted an 800Wh battery to power the Bosch CX drive unit, for worry-free extended rides. The revised seatpost clamp, UDH dropout, integrated cable routing and direct mount chainguard are all examples of the attention to detail we put into all our frames. And, with Size Split, you're sure to be able to find the perfect fit.",['https://file.cube.eu/azwesc1xfg346/media/45/a3/af/1727702037/synqup_801500_360I_00.jpg?ts=1747976844'],['https://file.cube.eu/azwesc1xfg346/media/45/a3/af/1727702037/synqup_801500_360I_00.jpg?ts=1747976844'],Cube Bikes (Germany),cube-stereo-hybrid-one22-slt-800-solareclipse-n-gold/801500,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one22-slt-800-solareclipse-n-gold/801500,2025-05-23T13:04:24.768474
STEREO HYBRID ONE22PRO 800,3699.0,"With added Bosch power and proven CUBE suspension kinematics, our trail explorer is a bike for all reasons. Suspension design that's stood the test of time is designed to work with a 120mm fork – including a mudguard mount – for the best in comfort and control. We fitted an 800Wh battery to power the Bosch CX drive unit, for worry-free extended rides. The revised seatpost clamp, UDH dropout, integrated cable routing and direct mount chainguard are all examples of the attention to detail we put into all our frames. And, with Size Split, you're sure to be able to find the perfect fit.",['https://file.cube.eu/azwesc1xfg346/media/af/09/ba/1727702237/synqup_801150_360I_00.jpg?ts=1747977045'],['https://file.cube.eu/azwesc1xfg346/media/af/09/ba/1727702237/synqup_801150_360I_00.jpg?ts=1747977045'],Cube Bikes (Germany),cube-stereo-hybrid-one22-pro-800-amarone-n-grey/801150,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one22-pro-800-amarone-n-grey/801150,2025-05-23T13:04:31.732246
STEREO HYBRID ONE55 C:68XSLT 750,9999.0,"Speed. Integration. Lower weight. These are the defining qualities of the Stereo Hybrid ONE55 C:68X, which makes use of up to six different fibre types to meet the specific demands of each part of the frame. The result is a chassis that's up to 20% lighter compared to our Stereo Hybrid 140 frame, but stiffer too – and strong enough to take on the toughest trails. An adjustable head angle and longer reach contribute to handling that more confident riders will love, serving up a cut-and-paste feel that enables tricky line choices even at speed thanks to 150mm of progressive rear wheel travel. Full internal cable routing reduces clutter and maintenance, and the Bosch System controller is neatly housed inside the top tube and can be controlled via Bluetooth from the Mini Remote. It's the complete package.",['https://file.cube.eu/azwesc1xfg346/media/49/24/ec/1725088742/synqup_736520_360I_00.jpg?ts=1747976860'],['https://file.cube.eu/azwesc1xfg346/media/49/24/ec/1725088742/synqup_736520_360I_00.jpg?ts=1747976860'],Cube Bikes (Germany),cube-stereo-hybrid-one55-c-68x-slt-750-29-prizmsilver-n-carbon/736520,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one55-c-68x-slt-750-29-prizmsilver-n-carbon/736520,2025-05-23T13:04:35.656265
STEREO HYBRID ONE77 HPCSLX 800,4999.0,"The Stereo Hybrid ONE77 HPC frame – with 170mm travel front and rear and a mullet wheel setup with 29in front and 27.5in rear – is all you need for big days out on big mountain trails. But, as with all CUBE designs, the devil is in the detail. So, for example, we added Integrated Cable Routing for super-clean looks and reduced maintenance, and then threw in an angle-adjustable headset so that you can tweak the handling to your taste. The 800 Wh PowerTube battery sits unobtrusively in the carbon down tube, just above the Bosch CX drive. A UDH dropout on the aluminium rear triangle is tough and future-proof, and we also added a direct mount chainguard to keep you driving forwards even when the going gets rough.",['https://file.cube.eu/azwesc1xfg346/media/2b/d9/ee/1727702055/synqup_803310_360I_00.jpg?ts=1747976866'],['https://file.cube.eu/azwesc1xfg346/media/2b/d9/ee/1727702055/synqup_803310_360I_00.jpg?ts=1747976866'],Cube Bikes (Germany),cube-stereo-hybrid-one77-hpc-slx-800-desertstone-n-black/803310,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one77-hpc-slx-800-desertstone-n-black/803310,2025-05-23T13:04:37.573779
STEREO HYBRID ONE77 HPCAT 800,7199.0,"The Stereo Hybrid ONE77 HPC frame – with 170mm travel front and rear and a mullet wheel setup with 29in front and 27.5in rear – is all you need for big days out on big mountain trails. But, as with all CUBE designs, the devil is in the detail. So, for example, we added Integrated Cable Routing for super-clean looks and reduced maintenance, and then threw in an angle-adjustable headset so that you can tweak the handling to your taste. The 800 Wh PowerTube battery sits unobtrusively in the carbon down tube, just above the Bosch CX drive. A UDH dropout on the aluminium rear triangle is tough and future-proof, and we also added a direct mount chainguard to keep you driving forwards even when the going gets rough.",['https://file.cube.eu/azwesc1xfg346/media/dc/4e/8c/1727702059/synqup_803510_360I_00.jpg?ts=1747976867'],['https://file.cube.eu/azwesc1xfg346/media/dc/4e/8c/1727702059/synqup_803510_360I_00.jpg?ts=1747976867'],Cube Bikes (Germany),cube-stereo-hybrid-one77-hpc-at-800-actionteam/803510,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one77-hpc-at-800-actionteam/803510,2025-05-23T13:04:44.289403
STEREO HYBRID ONE44EX 800,4199.0,"We built the Stereo Hybrid ONE44 to be as adaptable as it is capable. With its compact 800 Wh PowerTube battery and revised, quieter Bosch CX drive unit, it features 140mm of front and rear wheel travel and includes space for mudguards. Internal Cable Routing flatters the frame's clean, organic lines as well as reducing the need for maintenance. There's a set of SIC 2.0 mounting points for the addition of an optional luggage carrier, the UDH dropout is future-proof and the direct mount chainguard is neat and unobtrusive. Plus, with Size Split, there's a frame to suit almost every rider.",['https://file.cube.eu/azwesc1xfg346/media/f0/d0/06/1727702039/synqup_802200_360I_00.jpg?ts=1747976844'],['https://file.cube.eu/azwesc1xfg346/media/f0/d0/06/1727702039/synqup_802200_360I_00.jpg?ts=1747976844'],Cube Bikes (Germany),cube-stereo-hybrid-one44-ex-800-blackline/802200,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one44-ex-800-blackline/802200,2025-05-23T13:04:49.132216
STEREO HYBRID ONE44PRO 800 ALLROAD,3999.0,"You can tell by its included mudguard, semi-integrated carrier and lighting set that the Stereo Hybrid ONE44 Allroad is adaptable and versatile, but its practical accessories are just part of the story. With its compact 800 Wh PowerTube battery and revised, quieter Bosch CX drive unit, it features 140mm of front and rear wheel travel for assured off-road handling and performance. Internal Cable Routing flatters the frame's clean, organic lines as well as reducing the need for maintenance. The UDH dropout is future-proof and the direct mount chainguard is neat and unobtrusive. Plus, with Size Split, there's a frame to suit almost every rider.",['https://file.cube.eu/azwesc1xfg346/media/56/c9/1a/1727702039/synqup_802170_360I_00.jpg?ts=1747976844'],['https://file.cube.eu/azwesc1xfg346/media/56/c9/1a/1727702039/synqup_802170_360I_00.jpg?ts=1747976844'],Cube Bikes (Germany),cube-stereo-hybrid-one44-pro-800-allroad-inkgrey-n-black/802170,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one44-pro-800-allroad-inkgrey-n-black/802170,2025-05-23T13:04:54.029845
STEREO HYBRID ONE44 HPCRACE 800,4499.0,"A great bike is all about the detail, and the Stereo Hybrid ONE44 HPC's frame is chock full of clever details. You'll notice the Integrated Cable Routing because it so neatly complements the High Performance Carbon main triangle's clean lines, as well as helping to reduce maintenance. The angle-adjustable headset means you can tailor the handling to your specific requirements. A direct mount chainguard keeps the gears on the straight and narrow, and the neatly integrated Bosch top tube controller shows you what's going on with the powerful Bosch CX drive and 800 Wh PowerTube battery at a glance. With a 150mm fork and 140mm of rear-wheel travel, it's ready to take on the toughest of trails. The UDH dropout means it's future-proof, too. And, with Size Split, there's a wide range of sizes to suit most riders.",['https://file.cube.eu/azwesc1xfg346/media/18/e9/58/1727702043/synqup_802400_360I_00.jpg?ts=1747976847'],['https://file.cube.eu/azwesc1xfg346/media/18/e9/58/1727702043/synqup_802400_360I_00.jpg?ts=1747976847'],Cube Bikes (Germany),cube-stereo-hybrid-one44-hpc-race-800-blackline/802400,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one44-hpc-race-800-blackline/802400,2025-05-23T13:04:55.957129
STEREO HYBRID ONE22PRO 800,3699.0,"With added Bosch power and proven CUBE suspension kinematics, our trail explorer is a bike for all reasons. Suspension design that's stood the test of time is designed to work with a 120mm fork – including a mudguard mount – for the best in comfort and control. We fitted an 800Wh battery to power the Bosch CX drive unit, for worry-free extended rides. The revised seatpost clamp, UDH dropout, integrated cable routing and direct mount chainguard are all examples of the attention to detail we put into all our frames. And, with Size Split, you're sure to be able to find the perfect fit.",['https://file.cube.eu/azwesc1xfg346/media/3a/4d/1e/1727702236/synqup_801130_360I_00.jpg?ts=1747977045'],['https://file.cube.eu/azwesc1xfg346/media/3a/4d/1e/1727702236/synqup_801130_360I_00.jpg?ts=1747977045'],Cube Bikes (Germany),cube-stereo-hybrid-one22-pro-800-desertstone-n-black/801130,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one22-pro-800-desertstone-n-black/801130,2025-05-23T13:05:01.884988
STEREO HYBRID ONE77 HPCSLX 800,4999.0,"The Stereo Hybrid ONE77 HPC frame – with 170mm travel front and rear and a mullet wheel setup with 29in front and 27.5in rear – is all you need for big days out on big mountain trails. But, as with all CUBE designs, the devil is in the detail. So, for example, we added Integrated Cable Routing for super-clean looks and reduced maintenance, and then threw in an angle-adjustable headset so that you can tweak the handling to your taste. The 800 Wh PowerTube battery sits unobtrusively in the carbon down tube, just above the Bosch CX drive. A UDH dropout on the aluminium rear triangle is tough and future-proof, and we also added a direct mount chainguard to keep you driving forwards even when the going gets rough.",['https://file.cube.eu/azwesc1xfg346/media/41/a0/19/1727702055/synqup_803300_360I_00.jpg?ts=1747976866'],['https://file.cube.eu/azwesc1xfg346/media/41/a0/19/1727702055/synqup_803300_360I_00.jpg?ts=1747976866'],Cube Bikes (Germany),cube-stereo-hybrid-one77-hpc-slx-800-blackline/803300,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one77-hpc-slx-800-blackline/803300,2025-05-23T13:05:03.634684
STEREO HYBRID ONE44 HPCRACE 800,4499.0,"A great bike is all about the detail, and the Stereo Hybrid ONE44 HPC's frame is chock full of clever details. You'll notice the Integrated Cable Routing because it so neatly complements the High Performance Carbon main triangle's clean lines, as well as helping to reduce maintenance. The angle-adjustable headset means you can tailor the handling to your specific requirements. A direct mount chainguard keeps the gears on the straight and narrow, and the neatly integrated Bosch top tube controller shows you what's going on with the powerful Bosch CX drive and 800 Wh PowerTube battery at a glance. With a 150mm fork and 140mm of rear-wheel travel, it's ready to take on the toughest of trails. The UDH dropout means it's future-proof, too. And, with Size Split, there's a wide range of sizes to suit most riders.","['https://file.cube.eu/azwesc1xfg346/media/06/bd/db/1727702032/synqup_802410_360I_00.jpg?ts=1747976846', 'https://file.cube.eu/azwesc1xfg346/media/da/3b/d2/1740140137/Cube%20Stereo%20Hybrid%20ONE44%20HPC%20Race%20800_MB%20032025_EN.jpg?ts=1740140137']","['https://file.cube.eu/azwesc1xfg346/media/06/bd/db/1727702032/synqup_802410_360I_00.jpg?ts=1747976846', 'https://file.cube.eu/azwesc1xfg346/media/da/3b/d2/1740140137/Cube%20Stereo%20Hybrid%20ONE44%20HPC%20Race%20800_MB%20032025_EN.jpg?ts=1740140137']",Cube Bikes (Germany),cube-stereo-hybrid-one44-hpc-race-800-flashlime-n-blue/802410,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one44-hpc-race-800-flashlime-n-blue/802410,2025-05-23T13:05:05.405536
STEREO HYBRID ONE44 HPCSLX 800,4999.0,"A great bike is all about the detail, and the Stereo Hybrid ONE44 HPC's frame is chock full of clever details. You'll notice the Integrated Cable Routing because it so neatly complements the High Performance Carbon main triangle's clean lines, as well as helping to reduce maintenance. The angle-adjustable headset means you can tailor the handling to your specific requirements. A direct mount chainguard keeps the gears on the straight and narrow, and the neatly integrated Bosch top tube controller shows you what's going on with the powerful Bosch CX drive and 800 Wh PowerTube battery at a glance. With a 150mm fork and 140mm of rear-wheel travel, it's ready to take on the toughest of trails. The UDH dropout means it's future-proof, too. And, with Size Split, there's a wide range of sizes to suit most riders.",['https://file.cube.eu/azwesc1xfg346/media/ef/02/44/1727702040/synqup_802500_360I_00.jpg?ts=1747976847'],['https://file.cube.eu/azwesc1xfg346/media/ef/02/44/1727702040/synqup_802500_360I_00.jpg?ts=1747976847'],Cube Bikes (Germany),cube-stereo-hybrid-one44-hpc-slx-800-slabgrey-n-orange/802500,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one44-hpc-slx-800-slabgrey-n-orange/802500,2025-05-23T13:05:07.156831
STEREO HYBRID ONE77 HPCRACE 800,4299.0,"The Stereo Hybrid ONE77 HPC frame – with 170mm travel front and rear and a mullet wheel setup with 29in front and 27.5in rear – is all you need for big days out on big mountain trails. But, as with all CUBE designs, the devil is in the detail. So, for example, we added Integrated Cable Routing for super-clean looks and reduced maintenance, and then threw in an angle-adjustable headset so that you can tweak the handling to your taste. The 800 Wh PowerTube battery sits unobtrusively in the carbon down tube, just above the Bosch CX drive. A UDH dropout on the aluminium rear triangle is tough and future-proof, and we also added a direct mount chainguard to keep you driving forwards even when the going gets rough.",['https://file.cube.eu/azwesc1xfg346/media/be/14/7c/1727702053/synqup_803110_360I_00.jpg?ts=1747976865'],['https://file.cube.eu/azwesc1xfg346/media/be/14/7c/1727702053/synqup_803110_360I_00.jpg?ts=1747976865'],Cube Bikes (Germany),cube-stereo-hybrid-one77-hpc-race-800-liquidorange-n-orange/803110,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one77-hpc-race-800-liquidorange-n-orange/803110,2025-05-23T13:05:08.961405
STEREO HYBRID ONE22PRO 600 ALLROAD,3699.0,"We like to make bikes that are both beautiful and practical. The Stereo Hybrid ONE22 Allroad's included mudguards, luggage carrier, lights and kickstand speak for themselves. Add the 600Wh battery and Bosch CX drive system and you've everything you need. Our proven four-bar suspension system, 120mm suspension fork and Comfort Geometry delivers balanced handling, wherever you're headed. Integrated cable routing flatters the frame's almost organic looks and reduces maintenance. A new seatpost clamp, direct mount chainguard and UDH dropout may not sound exciting, but they're the little details that help make the difference. And, with Size Split, there's a perfectly proportioned option for pretty much every rider.",['https://file.cube.eu/azwesc1xfg346/media/9e/d0/18/1727702032/synqup_801160_360I_00.jpg?ts=1747976840'],['https://file.cube.eu/azwesc1xfg346/media/9e/d0/18/1727702032/synqup_801160_360I_00.jpg?ts=1747976840'],Cube Bikes (Germany),cube-stereo-hybrid-one22-pro-600-allroad-night-n-chrome/801160,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one22-pro-600-allroad-night-n-chrome/801160,2025-05-23T13:05:13.508840
STEREO HYBRID ONE22PRO 600,3499.0,"Our Bosch-powered trail explorer is full of neat touches. With its refined four-bar suspension system, 120mm suspension fork – with mudguard mount – and Comfort Geometry, it's set up for long days out on varied surfaces. With a 600Wh battery and Bosch CX drive, that means practically anywhere you please. Integrated cable routing flatters the frame's almost organic looks and reduces maintenance. A new seatpost clamp, direct mount chainguard and UDH dropout may not sound exciting, but they're the little details that help make the difference. And, with Size Split, there's a perfectly proportioned option for pretty much every rider.",['https://file.cube.eu/azwesc1xfg346/media/f2/2a/31/1727702031/synqup_801140_360I_00.jpg?ts=1747976840'],['https://file.cube.eu/azwesc1xfg346/media/f2/2a/31/1727702031/synqup_801140_360I_00.jpg?ts=1747976840'],Cube Bikes (Germany),cube-stereo-hybrid-one22-pro-600-amarone-n-grey/801140,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one22-pro-600-amarone-n-grey/801140,2025-05-23T13:05:19.053968
STEREO HYBRID ONE77 HPCTM 800,6199.0,"The Stereo Hybrid ONE77 HPC frame – with 170mm travel front and rear and a mullet wheel setup with 29in front and 27.5in rear – is all you need for big days out on big mountain trails. But, as with all CUBE designs, the devil is in the detail. So, for example, we added Integrated Cable Routing for super-clean looks and reduced maintenance, and then threw in an angle-adjustable headset so that you can tweak the handling to your taste. The 800 Wh PowerTube battery sits unobtrusively in the carbon down tube, just above the Bosch CX drive. A UDH dropout on the aluminium rear triangle is tough and future-proof, and we also added a direct mount chainguard to keep you driving forwards even when the going gets rough.",['https://file.cube.eu/azwesc1xfg346/media/a5/bd/5c/1727702054/synqup_803400_360I_00.jpg?ts=1747976867'],['https://file.cube.eu/azwesc1xfg346/media/a5/bd/5c/1727702054/synqup_803400_360I_00.jpg?ts=1747976867'],Cube Bikes (Germany),cube-stereo-hybrid-one77-hpc-tm-800-dustyolive-n-gold/803400,de-DE,https://www.cube.eu/de-en/cube-stereo-hybrid-one77-hpc-tm-800-dustyolive-n-gold/803400,2025-05-23T13:05:20.766613
